Set,Plant,Strain,Leaf,Rep,PLACL,pycnidiaPerCm2Leaf,pycnidiaPerCm2Lesion
set4,PyrSep_211,mix1,2,R4,86.63661114999998,53.106083,61.29750725
set2,PyrSep_212,mix2,1,R1,33.33194554,7.311520539,21.93547488
set2,PyrSep_212,mix2,2,R1,22.1889625,11.53686818,51.99372514
set2,PyrSep_212,mix2,3,R1,9.995589013,1.819501851,18.20304785
set2,PyrSep_212,mix1,1,R2,0,0,0
set2,PyrSep_212,mix1,2,R2,32.053407762,5.83822788,18.214062988
set2,PyrSep_212,mix1,3,R2,40.655071527,26.917071812,66.20839861
set2,PyrSep_212,mix4,1,R3,20.38084796,9.908702713,48.61771568
set2,PyrSep_212,mix4,2,R3,0,0,0
set2,PyrSep_212,mix4,3,R3,0,0,0
set2,PyrSep_212,mix3,1,R4,4.938937285,0.782813988,15.84984671
set2,PyrSep_212,mix3,2,R4,6.006932004,2.840621563,47.28905806
set5,PyrSep_213,mix1,1,R1,4.52107404,0.545932306,12.07527904
set5,PyrSep_213,mix1,2,R1,9.52683116,6.28690228,65.99153668
set5,PyrSep_213,mix4,1,R2,0,0,0
set5,PyrSep_213,mix4,2,R2,0,0,0
set5,PyrSep_213,mix4,3,R2,2.723726081,1.786157722,65.57772953
set5,PyrSep_213,mix3,1,R3,0,0,0
set5,PyrSep_213,mix3,2,R3,3.215451641,0.400729759,12.46262744
set5,PyrSep_213,mix3,3,R3,0,0,0
set5,PyrSep_213,mix2,1,R4,11.91469568,5.957302727,49.99962137
set5,PyrSep_213,mix2,2,R4,17.70922476,13.47466418,76.08839099
set5,PyrSep_213,mix2,3,R4,24.68182804,6.958701929,28.19362455
set3,PyrSep_214,mix3,1,R1,43.28761415,11.38610191,26.30337137
set3,PyrSep_214,mix3,2,R1,21.36675706,8.846802084,41.40451477
set3,PyrSep_214,mix3,3,R1,92.32778631,22.23308681,24.08060205
set3,PyrSep_214,mix2,1,R2,3.364248908,3.468277774,103.092186936
set3,PyrSep_214,mix2,2,R2,3.336085761,0.457359268,13.709457761
set3,PyrSep_214,mix2,3,R2,47.623612139,11.432084748,24.005076966
set3,PyrSep_214,mix1,1,R3,0,0,0
set3,PyrSep_214,mix1,2,R3,0,0,0
set3,PyrSep_214,mix4,1,R4,10.97049497,6.301555708,57.44094252
set3,PyrSep_214,mix4,2,R4,7.494976477,2.967808985,39.59730887
set3,PyrSep_214,mix4,3,R4,8.289562699999998,6.510537206,78.53897053
set6,PyrSep_215,mix2,2,R1,97.19334597,83.20488219,85.6075911
set6,PyrSep_215,mix2,3,R1,95.43051,51.03454634,53.47822865
set6,PyrSep_215,mix1,1,R2,21.981442042,18.782440643,85.4468083
set6,PyrSep_215,mix1,2,R2,54.334192272,47.90605942,88.169267669
set6,PyrSep_215,mix1,3,R2,32.641100751,12.021003037,36.827811443
set6,PyrSep_215,mix4,2,R3,35.49923862,71.70352198,201.9860842
set6,PyrSep_215,mix3,1,R4,95.76126225,72.85133847,76.07600063
set6,PyrSep_215,mix3,2,R4,77.43039609999998,80.13368026,103.4912441
set6,PyrSep_215,mix3,3,R4,29.49630872,29.02180484,98.39131098
set6,PyrSep_216,mix2,1,R1,6.289171214,3.691758572,58.70023961
set6,PyrSep_216,mix2,2,R1,0,0,0
set6,PyrSep_216,mix2,3,R1,22.89874098,18.34645821,80.11994293
set6,PyrSep_216,mix1,1,R2,27.886828347,29.071000508,104.246349374
set6,PyrSep_216,mix1,2,R2,5.656952032,5.589891108,98.814539627
set6,PyrSep_216,mix1,3,R2,15.499326641,8.090440297,52.19865665
set6,PyrSep_216,mix4,1,R3,7.384128475,2.752545355,37.27650953
set6,PyrSep_216,mix4,2,R3,3.228017262,1.480087508,45.85128853
set6,PyrSep_216,mix4,3,R3,16.58856226,16.65972327,100.4289763
set6,PyrSep_216,mix3,1,R4,0,0,0
set6,PyrSep_216,mix3,2,R4,0,0,0
set6,PyrSep_216,mix3,3,R4,3.508904393,1.954554132,55.70268989
set4,PyrSep_217,mix4,1,R1,8.116055044999998,2.397250711,29.53714209
set4,PyrSep_217,mix4,2,R1,0,0,0
