Set,Plant,Strain,Leaf,Rep,PLACL,pycnidiaPerCm2Leaf,pycnidiaPerCm2Lesion
set1,PyrSep_275,mix3,3,R3,96.74122099,9.55135831,9.873100848
set1,PyrSep_275,mix2,1,R4,78.71752612,10.61765823,13.48830273
set1,PyrSep_275,mix2,2,R4,29.32099353,2.7587756,9.408874898
set1,PyrSep_275,mix2,3,R4,33.62838094,7.743705393,23.02729176
set1,PyrSep_276,mix1,1,R1,62.93456362,42.75043257,67.92838483
set1,PyrSep_276,mix1,2,R1,54.87245901,51.06385928,93.05917797
set1,PyrSep_276,mix1,3,R1,28.18306144,14.56533686,51.68117343
set1,PyrSep_276,mix4,1,R2,63.939820407,22.836098394,35.714986762
set1,PyrSep_276,mix4,2,R2,83.419194452,59.628196925,71.480187883
set1,PyrSep_276,mix3,1,R3,89.445068,31.22223171,34.90659955
set1,PyrSep_276,mix3,2,R3,86.48522142999998,41.0548557,47.47037126
set1,PyrSep_276,mix3,3,R3,49.5255844,30.77859816,62.14686516
set1,PyrSep_276,mix2,1,R4,95.41985654,29.79081311,31.22076912
set1,PyrSep_276,mix2,2,R4,95.245962,26.792884,28.13020462
set1,PyrSep_276,mix2,3,R4,73.78013579,14.12227084,19.14102039
set4,PyrSep_277,mix3,1,R2,97.751055013,27.020093626,27.641741178
set4,PyrSep_277,mix3,2,R2,97.664627476,36.58315818,37.457940634
set4,PyrSep_277,mix3,3,R2,97.355936105,35.359570724,36.319891872
set4,PyrSep_277,mix2,1,R3,9.092765818,2.80513449,30.85017855
set4,PyrSep_277,mix2,2,R3,14.85204209,5.939708231,39.99253568
set4,PyrSep_277,mix2,3,R3,11.508846459999999,7.732334395,67.18600705
set4,PyrSep_277,mix1,1,R4,63.72630009,17.2438318,27.05920754
set4,PyrSep_277,mix1,2,R4,95.5943014,34.75017778,36.35172524
set4,PyrSep_277,mix1,3,R4,95.83492648,32.96783045,34.40064251
set1,PyrSep_278,mix1,1,R1,31.45661192,28.65111418,91.08137346
set1,PyrSep_278,mix1,2,R1,24.51490394,7.7044973389999996,31.42780962
set1,PyrSep_278,mix1,3,R1,0,0,0
set1,PyrSep_278,mix4,1,R2,95.359299572,71.388193024,74.862329468
set1,PyrSep_278,mix4,2,R2,42.987483812,42.574972115,99.040391155
set1,PyrSep_278,mix3,1,R3,11.74342143,14.00291832,119.2405331
set1,PyrSep_278,mix3,2,R3,78.60176102,34.70447197,44.152283
set1,PyrSep_278,mix3,3,R3,0,0,0
set1,PyrSep_278,mix2,1,R4,3.067246775,0.271022512,8.836019139
set1,PyrSep_278,mix2,2,R4,0,0,0
set1,PyrSep_278,mix2,3,R4,13.50445122,2.13578597,15.81542215
set4,PyrSep_279,mix4,1,R1,94.44959188,80.4836256,85.2133122
set4,PyrSep_279,mix4,3,R1,92.819074,71.01217346,76.50601369
set4,PyrSep_279,mix3,1,R2,0,0,0
set4,PyrSep_279,mix3,2,R2,91.185893393,30.07554632,32.982674404
set4,PyrSep_279,mix3,3,R2,43.328542887,29.735496937,68.627964283
set4,PyrSep_279,mix2,1,R3,0,0,0
set4,PyrSep_279,mix2,2,R3,0,0,0
set4,PyrSep_279,mix2,3,R3,0,0,0
set4,PyrSep_279,mix1,1,R4,7.784847647,3.789914419,48.68321887
set4,PyrSep_279,mix1,3,R4,51.53845091,62.7690673,121.7907527
set6,PyrSep_280,mix2,1,R1,3.602447516,5.104191026,141.6867561
set6,PyrSep_280,mix2,2,R1,24.82163297,30.92171853,124.5756819
set6,PyrSep_280,mix2,3,R1,3.387975691,2.921156269,86.22128776
set6,PyrSep_280,mix1,1,R2,54.833054832,60.935268281,111.128713271
set6,PyrSep_280,mix1,2,R2,32.290941233,43.469973657,134.619716853
set6,PyrSep_280,mix1,3,R2,23.252930481,14.925090587,64.185847882
set6,PyrSep_280,mix4,1,R3,33.33110938,42.35582319,127.0759479
set6,PyrSep_280,mix4,2,R3,0,0,0
set6,PyrSep_280,mix4,3,R3,0,0,0
set6,PyrSep_280,mix3,1,R4,13.4308692,27.40913932,204.0756925
set6,PyrSep_280,mix3,2,R4,16.46508245,20.15665182,122.42059450000001
set7,PyrSep_281,mix3,1,R1,0,0,0
set7,PyrSep_281,mix3,2,R1,0,0,0
set7,PyrSep_281,mix2,1,R2,25.068446838,18.681242671,74.52094177
set7,PyrSep_281,mix2,2,R2,0,0,0
set7,PyrSep_281,mix2,3,R2,0,0,0
set7,PyrSep_281,mix1,1,R3,7.538916698,9.107719062,120.8093872
set7,PyrSep_281,mix1,2,R3,10.724857159999999,3.297891692,30.74998242
set7,PyrSep_281,mix1,3,R3,11.05981415,5.813580678,52.5649039
set7,PyrSep_281,mix4,1,R4,3.437545395,1.270482867,36.95901351
set7,PyrSep_281,mix4,2,R4,0,0,0
set7,PyrSep_281,mix4,3,R4,8.922590566,4.183867565,46.89072679
set1,PyrSep_282,mix1,1,R1,60.45450825,22.85550135,37.80611572
set1,PyrSep_282,mix1,2,R1,52.35933286,37.51042567,71.64038124
set1,PyrSep_282,mix1,3,R1,14.5918248,7.54853586,51.73126708
set1,PyrSep_282,mix4,1,R2,52.487275037,12.077727215,23.010772052
set1,PyrSep_282,mix4,2,R2,60.310276117,31.244886023,51.806902629
set1,PyrSep_282,mix4,3,R2,92.983955242,43.675720383,46.971243876
set1,PyrSep_282,mix3,1,R3,18.33082959,6.807792668,37.13848648
set1,PyrSep_282,mix3,2,R3,32.944149,23.55524177,71.50053192
set1,PyrSep_282,mix3,3,R3,71.97062664,27.86650062,38.71926913
set1,PyrSep_282,mix2,1,R4,10.94433271,4.054521755,37.04676988
set1,PyrSep_282,mix2,2,R4,11.82404055,3.650035685,30.86961407
set1,PyrSep_282,mix2,3,R4,22.16687051,5.896682326,26.60132978
set4,PyrSep_283,mix4,1,R1,50.78518185,10.08976781,19.86754295
set4,PyrSep_283,mix4,2,R1,11.72617813,6.847595432,58.3957992
set4,PyrSep_283,mix4,3,R1,0,0,0
set4,PyrSep_283,mix3,1,R2,42.751028881,13.216179853,30.914296565
set4,PyrSep_283,mix3,2,R2,39.450069043,8.449711592,21.418749821
set4,PyrSep_283,mix3,3,R2,34.956974973,7.171171141,20.514278327
set4,PyrSep_283,mix2,1,R3,19.41852385,11.41603234,58.78939319
set4,PyrSep_283,mix2,2,R3,11.97089145,5.156906941,43.0787211
set4,PyrSep_283,mix2,3,R3,13.57016993,7.634054545,56.25614555
set4,PyrSep_283,mix1,1,R4,23.63062524,7.17770612,30.3745925
set4,PyrSep_283,mix1,2,R4,24.85998986,8.439668705,33.94880188
set4,PyrSep_283,mix1,3,R4,7.738259045999999,2.12336244,27.43979528
set5,PyrSep_284,mix1,1,R1,74.53481458999998,23.42930341,31.43403997
set5,PyrSep_284,mix1,2,R1,59.23708381,21.80443482,36.80875799
set5,PyrSep_284,mix1,3,R1,44.26164095,11.80409985,26.66891602
set5,PyrSep_284,mix4,1,R2,23.17589114,12.132366384,52.349082545
set5,PyrSep_284,mix4,2,R2,56.180239161,15.43924485,27.481628915
set5,PyrSep_284,mix4,3,R2,0,0,0
set5,PyrSep_284,mix3,1,R3,7.101655833,1.878149561,26.44664294
set5,PyrSep_284,mix3,2,R3,0,0,0
set5,PyrSep_284,mix3,3,R3,6.346891261,0.548673231,8.644755494
set5,PyrSep_284,mix2,1,R4,0,0,0
set5,PyrSep_284,mix2,2,R4,0,0,0
set5,PyrSep_284,mix2,3,R4,0,0,0
set3,PyrSep_285,mix3,1,R1,25.18920571,17.96272557,71.31120281
set3,PyrSep_285,mix3,2,R1,13.32655827,7.018167292,52.66301436
set3,PyrSep_285,mix3,3,R1,30.19159886,7.303023788,24.18892693
set3,PyrSep_285,mix2,1,R2,25.776196997,9.246355266,35.871681408
set3,PyrSep_285,mix2,2,R2,40.587310004,25.091926393,61.822097572
set3,PyrSep_285,mix2,3,R2,40.120311406,14.999406672,37.386067423
set3,PyrSep_285,mix1,1,R3,22.80235823,10.07869765,44.20024259
set3,PyrSep_285,mix1,2,R3,33.8381095,13.5147919,39.93955957
set3,PyrSep_285,mix1,3,R3,15.1122909,3.043612232,20.13997913
set3,PyrSep_285,mix4,1,R4,4.377686131,1.466929155,33.5092355
set3,PyrSep_285,mix4,2,R4,12.03225898,1.001878442,8.326603041
set3,PyrSep_285,mix4,3,R4,27.86898628,16.05861722,57.6218204
set5,PyrSep_286,mix1,1,R1,0,0,0
set5,PyrSep_286,mix1,2,R1,0,0,0
set5,PyrSep_286,mix1,3,R1,0,0,0
set5,PyrSep_286,mix4,1,R2,18.791163108,18.837103809,100.244480349
set5,PyrSep_286,mix4,2,R2,0,0,0
set5,PyrSep_286,mix4,3,R2,25.022109918,42.99743274,171.837758211
set5,PyrSep_286,mix3,1,R3,7.592227408,1.761432423,23.20046974
set5,PyrSep_286,mix3,2,R3,11.90128809,3.34659047,28.11956525
set5,PyrSep_286,mix3,3,R3,16.42885473,7.65560894,46.59855521
set5,PyrSep_286,mix2,1,R4,6.687386965,2.128310097,31.82573564
set5,PyrSep_286,mix2,2,R4,7.630777044,1.22893643,16.10499721
set5,PyrSep_286,mix2,3,R4,0,0,0
set5,PyrSep_287,mix1,1,R1,8.535684482,6.733720029,78.88904567
set5,PyrSep_287,mix1,2,R1,3.807128102,0,0
set5,PyrSep_287,mix1,3,R1,12.37084565,2.247377234,18.16672277
set5,PyrSep_287,mix4,1,R2,28.841085672,11.058473641,38.342778656
set5,PyrSep_287,mix4,2,R2,35.807125107,13.19527597,36.850978486
set5,PyrSep_287,mix4,3,R2,13.457166486,4.349047681,32.317707337
set5,PyrSep_287,mix3,1,R3,52.56864563,32.32006748,61.48164384
set5,PyrSep_287,mix3,2,R3,30.9691697,26.21702907,84.65525333
set5,PyrSep_287,mix2,1,R4,5.353310605,0.594016617,11.09624793
set5,PyrSep_287,mix2,2,R4,13.40978561,2.261265154,16.86279871
set5,PyrSep_287,mix2,3,R4,24.47639467,0.989046309,4.040816967
set8,PyrSep_288,mix4,1,R1,95.4133768,51.93217141,54.42860651
set8,PyrSep_288,mix4,2,R1,95.74668809,50.07154355,52.29584913
set8,PyrSep_288,mix4,3,R1,96.21315922,61.10682155,63.51191671
set8,PyrSep_288,mix3,1,R2,8.717867230999998,2.45358065,28.144276409
set8,PyrSep_288,mix3,2,R2,11.265480526,5.677618461,50.39836914
set8,PyrSep_288,mix3,3,R2,9.924342652,2.308153691,23.25749696
set8,PyrSep_288,mix2,1,R3,5.408135971,3.067605655,56.72205121
set8,PyrSep_288,mix2,2,R3,67.74058338,35.41185889,52.27569224
set8,PyrSep_288,mix2,3,R3,8.003133016999998,4.810699238,60.11019969
set8,PyrSep_288,mix1,1,R4,94.26599945,33.48558388,35.52244083
set8,PyrSep_288,mix1,2,R4,48.1091389,22.8722854,47.54249593
set8,PyrSep_288,mix1,3,R4,71.18962679,18.60832398,26.13909472
