X.Intercept. RepR2 RepR3 RepR4 Leaf IWB74799
18.67065 -9.435191 -16.6748 -7.43286 -1.038172 -12.14428
19.23182 -9.064369 -15.63633 -7.246385 -1.021485 -13.32063
20.29528 -8.590924 -16.80627 -10.19455 -1.408403 -11.19129
20.64314 -11.18105 -19.0889 -11.36339 -1.35742 -10.48504
19.78193 -10.17398 -20.259 -10.12287 -0.9877111 -11.00721
18.55333 -9.4218 -19.14447 -6.791632 -0.8364459 -12.36243
19.5283 -10.28261 -18.27054 -7.179628 -1.196743 -13.17398
18.94923 -8.959354 -12.20242 -6.999046 -2.15053 -14.70418
19.69577 -8.320709 -16.85716 -5.85174 -0.6082669 -17.76315
21.02514 -11.77572 -20.45091 -11.60305 -0.7443929 -17.00039
22.39855 -13.53686 -17.81796 -10.77651 -1.714172 -15.47917
23.70365 -12.55716 -24.49645 -13.38759 -0.8239285 -17.60575
25.17319 -12.71749 -21.5152 -14.50022 -0.9347533 -19.17277
24.69012 -12.7469 -22.95919 -12.28422 -0.5347746 -19.03001
25.84131 -10.72042 -20.18148 -10.35098 -0.5033834 -19.45
29.38828 -11.06408 -22.44192 -10.79882 -0.5692026 -20.05265
28.20582 -12.61168 -20.69066 -9.785012 -1.207714 -19.63396
30.68719 -14.36204 -21.11145 -12.67351 -1.114279 -20.84254
32.14185 -14.11811 -22.39367 -11.22112 -0.786074 -22.32369
33.72771 -16.35915 -18.66294 -9.926723 -1.228889 -23.68058
34.09854 -13.75968 -22.94216 -11.56451 -0.9337326 -21.76338
32.57729 -12.02725 -19.12676 -9.085074 -0.9363712 -22.15188
31.77401 -10.13478 -18.63353 -7.036027 -0.961071 -21.97149
31.1515 -9.734909 -15.5706 -8.930872 -0.4674234 -21.85616
31.0551 -9.990727 -15.92606 -5.894835 -1.141708 -21.92591
32.04965 -12.17443 -19.02624 -8.707929 -1.533763 -21.85452
33.86925 -13.3142 -21.57017 -10.64587 -1.738797 -22.51209
37.98643 -13.55173 -21.28785 -9.918029 -2.807615 -22.19913
38.87673 -13.07061 -19.99768 -10.40923 -2.072994 -24.17307
40.42811 -11.67676 -17.19606 -10.56771 -2.192777 -27.71344
40.44125 -8.708524 -17.05874 -8.510504 -2.221304 -30.05526
40.81075 -7.44821 -16.59173 -8.089184 -1.589448 -31.73668
43.14802 -9.35076 -16.18182 -10.00594 -1.474716 -32.05563
43.3832 -9.735127 -15.47637 -7.924922 -1.641686 -31.11271
40.58178 -7.99269 -16.83625 -7.002764 -0.2530628 -32.79357
40.36941 -7.872988 -16.0912 -6.559112 -1.086923 -29.69188
40.36549 -8.913347 -15.4803 -5.574385 -0.8446543 -30.84074
38.4299 -7.1809 -13.73029 -5.447294 -0.6157273 -31.72907
38.78521 -8.167069 -14.82032 -5.311121 -0.965867 -31.50562
38.57156 -8.332351 -16.28133 -6.996683 -1.402946 -29.34747
37.89072 -9.286307 -18.79449 -8.092617 -0.1340516 -29.72712
36.14567 -8.603234 -17.27051 -6.11571 -0.2797788 -27.49129
36.39106 -8.39763 -17.69534 -6.239936 -0.3660991 -27.95837
35.40131 -8.894533 -14.06031 -5.490023 -0.591999 -28.78263
35.27381 -7.272246 -14.53729 -5.89433 -1.017011 -29.30672
35.0791 -9.795396 -19.05862 -8.34952 -0.6381991 -28.50736
35.63531 -10.88594 -19.18247 -9.297324 -0.3933457 -26.21524
37.28704 -11.61026 -17.28643 -10.46529 -1.139858 -27.41247
38.86538 -13.84528 -20.79733 -11.09378 -0.02447526 -27.93447
35.54108 -14.49843 -17.63628 -8.637018 -0.2355944 -27.98546
37.64621 -13.94448 -20.79243 -11.86696 -0.8581728 -28.03359
39.15024 -14.43162 -17.54047 -11.41221 -1.998636 -25.31062
38.28036 -10.70313 -18.86175 -10.03907 -0.8219153 -28.37191
39.35971 -11.3946 -18.54617 -9.840616 -0.8487708 -28.18411
40.71791 -12.54942 -19.30302 -10.80683 -0.6659543 -26.83718
40.60556 -7.873107 -20.07438 -8.011999 -1.48513 -26.29631
38.53144 -8.755997 -18.22275 -7.526974 -0.454856 -28.6413
39.23719 -11.42756 -15.62338 -7.134456 -1.07319 -24.90732
40.77352 -11.47694 -16.56707 -7.418625 -1.303075 -23.69767
37.75267 -10.03724 -16.55644 -6.269324 -1.139273 -22.97437
37.20789 -10.37625 -18.32875 -9.21412 -0.7213942 -23.44745
37.41194 -8.796197 -16.12611 -7.475549 -0.9583187 -23.59392
39.54263 -8.891161 -17.67716 -5.127768 -1.882207 -21.95137
37.84515 -9.38356 -16.59515 -7.252522 -1.252479 -21.86674
37.48393 -7.136609 -15.7604 -8.174979 -0.9325899 -22.04006
35.21756 -6.800345 -16.63383 -6.302179 -0.5145153 -23.57194
34.96767 -7.077553 -15.68576 -9.07888 -0.2039005 -24.12998
